,srcid,field,root,root-1,sigma,PBroad,PCauchy,REH,AdG,JEG,Comments,final
0,6411,EGS,rubies-egs51-nod-v3,,inf,1.0,3.9056316402136533e-247,3.0,3.0,3.0,"JEG: OK, we should talk about such wimpy lines and if we make any LW cuts",broad
1,13872,EGS,rubies-egs51-nod-v3,,inf,1.0,2.9300464433764436e-221,3.0,2.0,1.0,blue absorber? but also two velocity components to narrow lines? JEG: not just NII?? AdG: definitely not NII,broad
2,15825,EGS,rubies-egs51-nod-v3,,inf,1.0,1.0,3.0,3.0,3.0,JEG: beautiful actual QSO? AdG: bad continuum fit,broad
3,24210,EGS,rubies-egs51-nod-v3,,inf,1.0,0.0,3.0,3.0,3.0,,broad
4,926125,EGS,rubies-egs51-nod-v3,,inf,1.0,0.0,3.0,3.0,3.0,,broad
5,925921,EGS,rubies-egs51-v4,,inf,1.0,3.8873335892619005e-226,3.0,3.0,3.0,would be good to look at this one again in v4,broad
6,4330,EGS,rubies-egs52-nod-v3,,inf,1.0,1.9890584372449193e-124,1.0,1.0,1.0,Large offset between GRISM and PRISM causing issues.,narrow
7,24213,EGS,rubies-egs52-nod-v3,,inf,1.0,3.633499333388248e-21,1.0,1.0,0.0,"Noisy, NII detected, unclear if there is broad absorption",
8,24489,EGS,rubies-egs52-nod-v3,,inf,1.0,0.0,2.0,1.0,1.0,,
9,29489,EGS,rubies-egs52-nod-v3,,inf,1.0,1.3351183684205357e-29,3.0,3.0,3.0,Absorber? JEG: must be quite narrow? AdG +1 for absorption,broad
10,36695,EGS,rubies-egs52-nod-v3,,inf,1.0,3.4004660065704235e-57,0.0,1.0,1.0,Weird continuum; bad fit,narrow
11,37124,EGS,rubies-egs52-nod-v3,,inf,1.0,0.0022038963888183,3.0,3.0,3.0,,broad
12,34978,EGS,rubies-egs53-nod-v3,,inf,1.0,4.926242330399793e-63,3.0,3.0,3.0,"JEG: I would like some kind of zoom on just BL, stretch makes this hard",indef
13,42046,EGS,rubies-egs53-nod-v3,,inf,1.0,0.0,3.0,3.0,3.0,Absorber in Ha and Hb! !! AdG: this is the other source we discussed for Fig 1 :),broad
14,50052,EGS,rubies-egs53-nod-v3,,inf,1.0,0.0,3.0,3.0,3.0,JEG: OIII seems to have a broad base here! +1 (and insane Lya),broad
15,53254,EGS,rubies-egs53-nod-v3,,inf,1.0,2.0286902514334324e-58,3.0,3.0,3.0,perfect example of multi-res fitting!,broad
16,931291,EGS,rubies-egs53-nod-v3,,inf,1.0,1.5092517768307924e-29,3.0,3.0,3.0,Crazy absorber! double check if reduction artefact,broad
17,30308,EGS,rubies-egs53-v4,,inf,1.0,9.528218594471028e-06,,,,,narrow
18,54240,EGS,rubies-egs61-nod-v3,,inf,1.0,7.7262536376455e-142,1.0,1.0,1.0,Probably not,narrow
19,60934,EGS,rubies-egs61-nod-v3,,inf,1.0,3.7071606168122587e-236,3.0,3.0,3.0,Absorber; weaker broad component in OIII?,broad
20,70473,EGS,rubies-egs61-nod-v3,,inf,1.0,0.0,2.0,1.0,1.0,"This is hard, it looks like extra flux, but unclear if BL JEG: agree",broad
