,srcid,field,root,root-1,sigma,fwhm_snr,PBroad,PCauchy,REH,AdG,JEG,Old Comments,New Comments,final
0,6411,EGS,rubies-egs51-nod-v3,None,inf,8.339928100048457,1.0,2.2945781582846832e-254,3.0,3.0,3.0,"JEG: OK, we should talk about such wimpy lines and if we make any LW cuts",,B
1,13872,EGS,rubies-egs51-nod-v3,None,inf,13.25979321153416,1.0,6.2357599974429965e-223,3.0,2.0,1.0,blue absorber? but also two velocity components to narrow lines? JEG: not just NII?? AdG: definitely not NII,,B
2,15825,EGS,rubies-egs51-nod-v3,None,inf,260.3169497977434,1.0,1.0,3.0,3.0,3.0,JEG: beautiful actual QSO? AdG: bad continuum fit,,B
3,24210,EGS,rubies-egs51-nod-v3,None,inf,5.593383807825166,1.0,0.0,3.0,3.0,3.0,,,B
4,926125,EGS,rubies-egs51-nod-v3,None,inf,31.4952091080841,1.0,0.0,3.0,3.0,3.0,,,B
5,925921,EGS,rubies-egs51-v4,None,inf,113.96729373380508,1.0,4.015321088242179e-225,3.0,3.0,3.0,would be good to look at this one again in v4,,B
6,4330,EGS,rubies-egs52-nod-v3,None,inf,10.597455167775529,1.0,1.3854422025693965e-134,1.0,1.0,1.0,Large offset between GRISM and PRISM causing issues.,,N
7,24213,EGS,rubies-egs52-nod-v3,None,inf,20.241393903251893,1.0,1.2094721952434616e-14,1.0,1.0,0.0,"Noisy, NII detected, unclear if there is broad absorption",,N
8,24489,EGS,rubies-egs52-nod-v3,None,inf,4.17870893182719,1.0,0.0,2.0,1.0,1.0,,,N
9,29489,EGS,rubies-egs52-nod-v3,None,inf,30.598076007189324,1.0,8.713772688314418e-28,3.0,3.0,3.0,Absorber? JEG: must be quite narrow? AdG +1 for absorption,,B
10,37124,EGS,rubies-egs52-nod-v3,None,inf,70.6305046331638,1.0,0.0003988734348274394,3.0,3.0,3.0,,,B
11,34978,EGS,rubies-egs53-nod-v3,None,inf,19.00331011415084,1.0,4.085931558321947e-65,3.0,3.0,3.0,"JEG: I would like some kind of zoom on just BL, stretch makes this hard",,B
12,42046,EGS,rubies-egs53-nod-v3,None,inf,1812.427142494822,1.0,0.0,3.0,3.0,3.0,Absorber in Ha and Hb! !! AdG: this is the other source we discussed for Fig 1 :),,B
13,50052,EGS,rubies-egs53-nod-v3,None,inf,34.47434826657744,1.0,0.0,3.0,3.0,3.0,JEG: OIII seems to have a broad base here! +1 (and insane Lya),,B
14,53254,EGS,rubies-egs53-nod-v3,None,inf,7.7126731271952265,1.0,1.1391945868257154e-57,3.0,3.0,3.0,perfect example of multi-res fitting!,,B
15,921025,EGS,rubies-egs53-nod-v3,None,inf,4.6335252502694795,1.0,0.0,3.0,2.0,2.0,JEG: FWHM very narrow/this looks marginal to me. +1 similar weak broad base in OIII 5008,,O
16,931291,EGS,rubies-egs53-nod-v3,None,inf,9.031102178346133,1.0,8.992177060916337e-30,3.0,3.0,3.0,Crazy absorber! double check if reduction artefact,,B
17,30308,EGS,rubies-egs53-v4,None,inf,47.139516015321185,1.0,2.2036774735160445e-05,0.0,,,No good PRISM data,,N
18,54240,EGS,rubies-egs61-nod-v3,None,inf,5.343428077894691,1.0,2.491790092399924e-141,1.0,1.0,1.0,Probably not,,N
19,60934,EGS,rubies-egs61-nod-v3,None,inf,77.36155482922008,1.0,5.225708283707667e-238,3.0,3.0,3.0,Absorber; weaker broad component in OIII?,,B
20,70473,EGS,rubies-egs61-nod-v3,None,inf,5.944013585409632,1.0,0.0,2.0,2.0,2.0,"This is hard, it looks like extra flux, but unclear if BL JEG: agree, edited by REH",,B
21,73610,EGS,rubies-egs61-nod-v3,None,inf,3.502754666897244,1.0,1.302742542290845e-214,3.0,0.0,0.0,looks like NII?,,N
22,55604,EGS,rubies-egs61-v4,None,inf,1972.3634363512963,1.0,0.0,3.0,3.0,3.0,absorbtion in Hbeta (this was also in Wang+ 2024b),,B
23,42232,EGS,rubies-egs62-nod-v3,rubies-egs63-nod-v3,inf,58.449278300982904,1.0,1.7853999907553736e-53,3.0,3.0,3.0,Absorber? needs zoom-in of broad base,,B
24,50812,EGS,rubies-egs62-nod-v3,None,inf,6.2627039606975465,1.0,1.273198326934758e-13,3.0,3.0,3.0,Hbeta fit looks really bad? other lines ok,,I
25,60052,EGS,rubies-egs62-nod-v3,None,inf,4.26873795657927,1.0,6.293539942922114e-31,3.0,2.0,2.0,"need zoom-in of broad base to confirm JEG: this is an example for a Lorentz fit,edit",,I
26,67056,EGS,rubies-egs62-nod-v3,None,inf,26.71619179959935,1.0,0.036038794342935575,0.0,0.0,1.0,too noisy; fit gets continuum wrong? also Hbeta somehow not fit?,,N
27,67278,EGS,rubies-egs62-nod-v3,None,inf,10.252784642320842,1.0,3.564787611120872e-19,0.0,0.0,0.0,"Continuum offsets between the dispersers, not convinced",,N
28,948917,EGS,rubies-egs62-nod-v3,None,inf,15.605622660250955,1.0,0.0,3.0,3.0,3.0,,,B
29,28812,EGS,rubies-egs63-nod-v3,None,inf,35.8291553431404,1.0,5.988661127728202e-149,3.0,3.0,3.0,Absorber +1,,B
30,45502,EGS,rubies-egs63-nod-v3,None,inf,9.759911071534196,1.0,1.7753280740247162e-180,3.0,2.0,1.0,need zoom in JEG: Check Lorentz,,I
31,49140,EGS,rubies-egs63-nod-v3,None,inf,2132.2665575246065,1.0,0.0,3.0,3.0,3.0,Absorber! JEG Beautiful! -- this is our universe breaker,,B
32,42803,EGS,rubies-egs63-v4,None,inf,29.205640936037824,1.0,1.7428925597755144e-51,3.0,3.0,2.0,"Hard to fit PRISM without it, look at v4!",,B
33,19484,UDS,rubies-uds1-nod-v3,None,inf,5.9631927613687505,1.0,8.484030898493136e-08,3.0,3.0,3.0,,,I
34,29601,UDS,rubies-uds1-nod-v3,rubies-uds41-nod-v3,inf,7.504548626808508,1.0,0.0,1.0,1.0,0.0,"Noisy, I don't know if I trst it",,N
35,31747,UDS,rubies-uds1-nod-v3,None,inf,14.54005543600345,1.0,0.9999954986064774,3.0,3.0,3.0,"weird line profile, probs noise not absorption",,B
36,44043,UDS,rubies-uds1-nod-v3,None,inf,24.435017828242366,1.0,3.7921481213546444e-77,3.0,3.0,3.0,Absorbers?,,B
37,45452,UDS,rubies-uds1-nod-v3,None,inf,10.838554922166459,1.0,3.609321360557098e-144,1.0,0.0,0.0,"OII is broader than Ha, so code is fitting with broad line JEG: Lorentz",,N
38,35376,UDS,rubies-uds2-nod-v3,rubies-uds1-nod-v3,inf,5.526445913721726,1.0,0.0,1.0,1.0,1.0,Has another spectrum too!,,N
39,36810,UDS,rubies-uds2-nod-v3,None,inf,5.668369682599717,1.0,0.0,3.0,1.0,1.0,not convinced?,,I
40,174752,UDS,rubies-uds21-nod-v3,None,inf,9.953416522085966,1.0,0.0,3.0,3.0,3.0,,,B
41,180422,UDS,rubies-uds21-nod-v3,None,inf,18.066315405705648,1.0,1.0,0.0,0.0,0.0,"Too much noise JEG: I'm confsed. line very strong in PRISM, why gone in grating?; reduction issues?",,N
42,182791,UDS,rubies-uds21-nod-v3,None,inf,685.3018154788407,1.0,4.455700194513269e-174,3.0,3.0,3.0,Absorber? +1 absorption,,B
43,970351,UDS,rubies-uds21-nod-v3,None,inf,24.46725466876392,1.0,1.1122866837762895e-13,2.0,2.5,2.0,Pretty convincing for prism only; g395m missing,,B
44,167396,UDS,rubies-uds21-v4,None,inf,23.736628938011766,1.0,5.0281733239027984e-26,1.0,,,,,N
45,920396,UDS,rubies-uds21-v4,None,inf,3.8701911833220177,1.0,1.940892720328896e-76,3.0,,,Absorber?,,B
46,118847,UDS,rubies-uds22-nod-v3,None,inf,1.4724796156044966,1.0,1.0,,,,,,
47,119957,UDS,rubies-uds22-nod-v3,None,inf,19.380086853985038,1.0,1.909592236388619e-31,3.0,3.0,3.0,BEAUTIFUL,,B
48,139709,UDS,rubies-uds22-nod-v3,None,inf,24.807997359521657,1.0,6.159787829297026e-226,3.0,3.0,3.0,,,B
49,143683,UDS,rubies-uds22-nod-v3,None,inf,10.804694584128722,1.0,0.0,3.0,2.0,3.0,,,B
50,152856,UDS,rubies-uds22-nod-v3,None,inf,12.671677055809436,1.0,1.5526780048696123e-54,0.0,1.0,0.0,Wrong z?,,N
51,919440,UDS,rubies-uds22-v4,None,inf,5.451704585362811,1.0,8.671331012644377e-52,3.0,3.0,3.0,broad Ha in v4 (ID 919440),,B
52,147411,UDS,rubies-uds23-nod-v3,None,inf,5.925423669444698,1.0,0.5719388919975329,3.0,3.0,3.0,,,I
53,148630,UDS,rubies-uds23-nod-v3,None,inf,4.271446584524727,1.0,3.4434931308325616e-08,0.0,,,Bad data,,
54,166271,UDS,rubies-uds23-nod-v3,None,inf,48.82400450060658,1.0,1.7885330251310242e-35,3.0,3.0,3.0,,,B
55,172350,UDS,rubies-uds23-nod-v3,None,inf,37.93787461186966,1.0,1.6661313663565494e-117,3.0,3.0,3.0,absorption? need zoom,,B
56,144195,UDS,rubies-uds23-v4,None,inf,16.069115902466834,1.0,1.0,2.0,1.0,1.0,Looks broad in v4?; check v4 very interesting SED,,B
57,46566,UDS,rubies-uds3-nod-v3,None,inf,8.147717975862214,1.0,2.4969547367128993e-111,3.0,2.0,2.0,JEG: this must be right at the limit?,,I
58,47509,UDS,rubies-uds3-nod-v3,None,inf,30.145027630269777,1.0,2.6101856681252e-216,2.0,3.0,3.0,revisit JEG: this looks ok to me?,,B
